table;dur;birth;death;chngs;s@s;s@e;sAvg
tiki_structures;152;0;-;0;7;7;7.0
tiki_submissions;152;0;-;0;33;33;33.0
tiki_suggested_faq_questions;152;0;-;0;6;6;6.0
tiki_survey_question_options;152;0;-;0;4;4;4.0
tiki_survey_questions;152;0;-;0;9;9;9.0
tiki_surveys;152;0;-;0;7;7;7.0
tiki_tags;152;0;-;0;11;11;11.0
tiki_theme_control_categs;152;0;-;0;2;2;2.0
tiki_theme_control_objects;152;0;-;0;4;4;4.0
tiki_theme_control_sections;152;0;-;0;2;2;2.0
tiki_topics;152;0;-;0;8;8;8.0
tiki_tracker_fields;152;0;-;1;14;15;14.335526
tiki_tracker_item_attachments;152;0;-;3;13;13;13.0
tiki_tracker_item_comments;152;0;-;1;6;6;6.0
tiki_tracker_item_fields;152;0;-;0;4;4;4.0
tiki_tracker_items;152;0;-;0;5;5;5.0
tiki_tracker_options;152;0;-;0;3;3;3.0
tiki_trackers;152;0;-;0;14;14;14.0
tiki_translated_objects;152;0;-;0;4;4;4.0
tiki_untranslated;152;0;-;0;3;3;3.0
tiki_user_answers;152;0;-;0;4;4;4.0
tiki_user_answers_uploads;152;0;-;0;7;7;7.0
tiki_user_assigned_modules;152;0;-;2;5;6;5.605263
tiki_user_bookmarks_folders;152;0;-;0;4;4;4.0
tiki_user_bookmarks_urls;152;0;-;0;7;7;7.0
tiki_user_mail_accounts;152;0;-;0;12;12;12.0
tiki_user_menus;152;0;-;0;6;6;6.0
tiki_user_modules;152;0;-;0;4;4;4.0
tiki_user_notes;152;0;-;0;8;8;8.0
tiki_user_postings;152;0;-;0;5;5;5.0
tiki_user_preferences;152;0;-;0;3;3;3.0
tiki_user_quizzes;152;0;-;0;8;8;8.0
tiki_user_taken_quizzes;152;0;-;0;2;2;2.0
tiki_user_tasks;152;0;-;0;11;11;11.0
tiki_user_tasks_history;152;0;-;0;15;15;15.0
tiki_user_votings;152;0;-;0;3;3;3.0
tiki_user_watches;152;0;-;2;8;8;8.0
tiki_userfiles;152;0;-;0;11;11;11.0
tiki_userpoints;152;0;-;0;3;3;3.0
tiki_users;152;0;-;0;4;4;4.0
tiki_users_score;152;0;-;0;4;4;4.0
tiki_webmail_contacts;152;0;-;0;6;6;6.0
tiki_webmail_contacts_ext;143;9;-;3;4;4;4.0
tiki_webmail_contacts_fields;142;10;-;4;2;5;4.9788733
tiki_webmail_contacts_groups;152;0;-;0;2;2;2.0
tiki_webmail_messages;152;0;-;0;6;6;6.0
tiki_wiki_attachments;152;0;-;2;11;11;11.0
tiki_zones;152;0;-;0;1;1;1.0
users_grouppermissions;152;0;-;0;3;3;3.0
users_groups;152;0;-;5;9;12;10.059211
users_objectpermissions;152;0;-;0;4;4;4.0
users_permissions;152;0;-;1;4;5;4.894737
users_usergroups;152;0;-;0;2;2;2.0
users_users;152;0;-;16;20;25;22.861841
