Date;hash;release
1302765274;c4a6c2b05003d25cf865c86d7253aa56758613bc;refs/tags/1.16.4
1304573593;ca79ad027d3e9068df3f37cfb143935f96d21016;refs/tags/1.16.5
1308714960;30c5be587128f590eac7d710cac3c0fa80f54f6b;refs/tags/1.17.0
1304592072;00a482be0045a07903b0f11099ba1503f9cec48b;refs/tags/1.17.0beta1
1308017014;feb0c546d4d5d013c4b0113b82bedd1ef2dee612;refs/tags/1.17.0rc1
1322522918;e7dfef21aa522bb328908c89552b7ac1f610a104;refs/tags/1.17.1
1326319138;631af7bd17072a2b36801c6069cd0a44b1c60030;refs/tags/1.17.2
1332451568;beb90dc07727046aee493fb6bcf0445cb23fe98d;refs/tags/1.17.3
1335377581;bd24d69d6fb35e7a2367a53e3ccd4d16e592ea87;refs/tags/1.17.4
1338570045;b0e92c09fc24af2d50cebfd570a9a93b298b1912;refs/tags/1.17.5
1322523045;6a5b1dec913d4566acd6b0e31fbde212deccf001;refs/tags/1.18.0
1320407602;2a38cd25b071f1f162500aea6bda30ad20ef41b5;refs/tags/1.18.0beta1
1321576944;02cf4f704f93902a59ff1d89041b00d4c97f9194;refs/tags/1.18.0rc1
1326319195;5f19d09b5fbd772d91cf697e2d1c718e09202098;refs/tags/1.18.1
1332452040;a917949f6c140fb0c6beaf58fa46a8550832fcbb;refs/tags/1.18.2
1335377799;98068a50289bfd6bb596014922d21785b5db5734;refs/tags/1.18.3
1338569138;629ac71f2b7f7bf8b1bb19104fa39497e2d438a0;refs/tags/1.18.4
1346422933;b2af0b464ea9a9c3730a66194dde953472d9cb31;refs/tags/1.18.5
1354070247;a8a4545ee1bce68991aff54c8f0b5c396ea028dd;refs/tags/1.18.6
1335965463;cb82979b64317e684686c2908fb7f76745094cb7;refs/tags/1.19.0
1331133288;23c5d3d58123793efcf8ca867b0895e8fac4edfc;refs/tags/1.19.0beta1
1332454450;34cd6b23ff2115232dd66ef9b8404c30767a570d;refs/tags/1.19.0beta2
1335389964;a3d50fb4eac51246472643f6e2ab722d8a5cb489;refs/tags/1.19.0rc1
1339523688;d0c0aabb3c5d40688d2435c0963927da479a47e0;refs/tags/1.19.1
1389664309;41af30f87352051026353fbfbbe6fbb121c2e0d0;refs/tags/1.19.10
1390870724;f49aa72e9200d21935bcf14f0db7e8fb4acf2333;refs/tags/1.19.11
1393540454;841e0be778d1a73dd8040c08ebe0e0dfdc6da062;refs/tags/1.19.12
1394549033;7f64bb2381813ebadca6bb4ca4e2492fb71602f9;refs/tags/1.19.13
1395931661;f62b7b0b0018b1e63fa23049a5e468b227109bc7;refs/tags/1.19.14
1396444051;6bd3582c8c203321537888d0f6bb9a0e6ebae358;refs/tags/1.19.15
1401265140;fb952c227e46b1ea50548c16f3f5eda0fad21b00;refs/tags/1.19.16
1403726899;93ffc67875a33654cc2fd6ef031476fbe17eeff5;refs/tags/1.19.17
1406743951;c4a35cb4363fc0a45371f62534f4498903ae6c2b;refs/tags/1.19.18
1411567270;60e311d7f46b343e11636f8740ae9838404f0ea0;refs/tags/1.19.19
1346423503;f149a4825b8294dce6d48ce50003c679db9ba7d1;refs/tags/1.19.2
1412173903;1c7800109b77d1129c3f677dd12fac1a300befcb;refs/tags/1.19.20
1414604492;f68bba95cf55226dac579d5c2519158243953c90;refs/tags/1.19.21
1417039370;e43b3670cf61cef003851f13309f1fd4dd85619d;refs/tags/1.19.22
1418839324;c577fa2ee5e7edb0604505259f9546d2e1e2e0b3;refs/tags/1.19.23
1427808063;4ab1265f7967a8d22ed58eef7c196c09afb77344;refs/tags/1.19.24
1354122751;5186d6f5b7da98e43ddf2a194f58cf9c391800a6;refs/tags/1.19.3
1362418805;3eeae93facc0f17a6d8285e54d4b9cd1483067a3;refs/tags/1.19.4
1366068754;b903ccb22280e84f3bc22bcdf09b89a5f2d6b7a4;refs/tags/1.19.5
1367338171;85edebaec4289aa39a595ef3fa8fe7dbd5b40d73;refs/tags/1.19.6
1369152548;d5231915f643426538af2e008d6d018527cb80f8;refs/tags/1.19.7
1378222863;98cd91cfc472885a70a93a47687a87a83229ec87;refs/tags/1.19.8
1384453368;aa4ce03b9104fb31487f05bdb0fdb77af0bce841;refs/tags/1.19.9
1080117600;987048dccacfff52c1a494a027e129692d6084be;refs/tags/1.2.0
1077958066;49e334bf5146d847666497daa2f5dae19c01b533;refs/tags/1.2.0rc1
1078313801;9e724d9f1110b30ffac50ea6d8c258e9d173ff47;refs/tags/1.2.0rc2
1078659616;94276353535199b058d4b28c279e54e74e8686b1;refs/tags/1.2.0rc3
1080447949;cf6c2200be1c43ccb46719524efb19badf6f0a34;refs/tags/1.2.1
1080523952;14a213ec31f13f2ef5831a6b109507cd47f2a0da;refs/tags/1.2.2
1080899597;8c8f94627a977cf72e02292b731e0dd603475966;refs/tags/1.2.3
1081893499;f0a9a99835b5a6dd3fb86ca6fb7adcb504d48cea;refs/tags/1.2.4
1083570078;f44f56bfdaeeb7d9ac38a5f9f8faab8ece97a83f;refs/tags/1.2.5
1085465597;850228b9240c10ef909eef996bae0e4b8e63e427;refs/tags/1.2.6
1352306678;44edaa25a9bb48c596e7b0674b22c0e0a7f0b082;refs/tags/1.20.0
1350422006;92525a496c6b77a044dae42ebe6360b08093cf9c;refs/tags/1.20.0rc1
1350861124;2b3dbbb8f5540942598f44abe84043c97fb548f0;refs/tags/1.20.0rc2
1354124648;978e5cf3b6aeef6fd11171a1f2f86fab3b6b14b3;refs/tags/1.20.1
1354643822;3b68aebe1e6842b15079a18b08feff58ab1fd555;refs/tags/1.20.2
1362437189;beb501dd18ae178a28cae68ececde3e1c85bb22f;refs/tags/1.20.3
1366068485;e4a193435f978ccf0389c62c7c1eb956275da622;refs/tags/1.20.4
1367341166;24218926b62f8fe098ae8f3503381f2bb81d7eb8;refs/tags/1.20.5
1369154232;d4cc23f09d50c767988d0df3704451f20c16b9ea;refs/tags/1.20.6
1378224431;19be8ca3403d8f34331954ac702ccb914811fa33;refs/tags/1.20.7
1384454085;4b94444ffd6c821d7d7a52e04e42a9597538fccc;refs/tags/1.20.8
1369488768;beff6f0a98bb4e0fe87736eb48581949fe901967;refs/tags/1.21.0
1369773602;56e8075777c94770c7191aade2c69a3213eea1df;refs/tags/1.21.1
1401266205;9b7aa56baf95667ac8542192c2abfcf9a4281bc8;refs/tags/1.21.10
1403727236;50e3212b5876058f747e6fcbb7add3b838010812;refs/tags/1.21.11
1378233287;a458e6d742a95acb803c2a5b0ab6dfb435e493a9;refs/tags/1.21.2
