table;dur;birth;death;chngs;s@s;s@e;sAvg
oc_custom_field_value_description;310;102;-;0;4;4;4.0
oc_customer;390;17;-;15;13;23;19.897436
oc_customer_activity;247;165;-;8;5;6;5.9473686
oc_customer_ban_ip;220;107;326;0;2;2;2.0
oc_customer_field;76;102;177;2;6;7;6.0921054
oc_customer_group;389;23;-;11;2;3;3.5269923
oc_customer_group_description;354;58;-;1;4;4;4.0
oc_customer_history;311;101;-;1;4;4;4.0
oc_customer_ip;377;35;-;1;4;4;4.0
oc_customer_ip_blacklist;49;58;106;1;2;2;2.0
oc_customer_login;128;284;-;0;6;6;6.0
oc_customer_online;354;58;-;3;5;5;5.0
oc_customer_reward;377;35;-;1;6;6;6.0
oc_customer_search;8;404;-;0;11;11;11.0
oc_customer_transaction;377;35;-;3;6;6;6.0
oc_customer_wishlist;71;341;-;0;3;3;3.0
oc_download;390;17;-;2;5;4;4.497436
oc_download_description;390;17;-;0;3;3;3.0
oc_event;177;235;-;14;4;6;4.299435
oc_extension;390;17;-;2;3;3;3.0
oc_filter;328;84;-;1;2;3;2.9634147
oc_filter_description;328;84;-;1;3;4;3.9634147
oc_filter_group;316;96;-;0;2;2;2.0
oc_filter_group_description;316;96;-;0;3;3;3.0
oc_filter_group_to_category;21;96;116;0;2;2;2.0
oc_filter_value;12;84;95;0;3;3;3.0
oc_filter_value_description;12;84;95;0;4;4;4.0
oc_geo_zone;390;17;-;0;5;5;5.0
oc_image;1;173;173;0;5;5;5.0
oc_image_description;1;173;173;0;3;3;3.0
oc_information;390;17;-;3;3;4;3.8948717
oc_information_description;390;17;-;5;4;7;5.8692307
oc_information_to_layout;377;35;-;0;3;3;3.0
oc_information_to_store;389;23;-;0;2;2;2.0
oc_language;390;17;-;2;9;8;8.674359
oc_layout;377;35;-;0;2;2;2.0
oc_layout_module;148;264;-;9;6;5;5.027027
oc_layout_route;377;35;-;3;4;4;4.0
oc_length_class;389;23;-;0;2;2;2.0
oc_length_class_description;389;23;-;0;4;4;4.0
oc_location;273;139;-;17;12;9;9.666667
oc_manufacturer;390;17;-;0;5;4;4.002564
oc_manufacturer_to_store;389;23;-;0;2;2;2.0
oc_marketing;257;155;-;2;6;6;6.0
oc_menu;24;388;-;0;6;6;6.0
oc_menu_description;24;388;-;0;3;3;3.0
oc_menu_module;24;388;-;0;4;4;4.0
oc_modification;266;146;-;13;7;9;8.522556
oc_module;122;265;-;6;4;4;3.9754097
oc_option;377;35;-;0;3;3;3.0
oc_option_description;377;35;-;0;3;3;3.0
oc_option_value;377;35;-;1;3;4;3.9416447
oc_option_value_description;377;35;-;0;4;4;4.0
oc_order;390;17;-;65;40;61;58.83077
oc_order_custom_field;202;210;-;2;7;8;7.9950495
oc_order_download;163;17;184;0;7;7;7.0
oc_order_field;76;102;177;2;6;7;6.0921054
oc_order_fraud;253;58;310;2;53;53;53.0
oc_order_history;390;17;-;3;6;6;6.0
oc_order_misc;10;58;68;0;3;3;3.0
oc_order_option;390;17;-;6;7;8;7.997436
oc_order_product;390;17;-;10;10;10;9.915384
oc_order_recurring;221;190;-;12;20;20;20.0
oc_order_recurring_transaction;221;190;-;3;5;6;5.927602
oc_order_status;390;17;-;0;3;3;3.0
oc_order_total;390;17;-;4;6;6;6.3871794
oc_order_total_klarna;6;110;115;1;2;2;2.0
oc_order_voucher;354;58;-;3;12;12;12.0
oc_product;390;17;-;27;18;31;30.471794
oc_product_attribute;377;35;-;1;4;4;4.0
oc_product_description;390;17;-;7;5;8;7.5102563
oc_product_discount;390;17;-;2;4;8;7.9897437
oc_product_featured;7;28;34;0;1;1;1.0
oc_product_filter;328;84;-;2;2;2;2.0335367
oc_product_image;390;17;-;1;3;4;3.9076922
oc_product_option;390;17;-;8;3;5;4.9333334
oc_product_option_description;13;17;34;0;4;4;4.0
oc_product_option_value;390;17;-;13;6;13;12.828205
oc_product_option_value_description;13;17;34;0;4;4;4.0
oc_product_profile;62;190;252;0;3;3;3.0
oc_product_recurring;159;253;-;0;3;3;3.0
oc_product_related;390;17;-;0;2;2;2.0
oc_product_reward;377;35;-;0;4;4;4.0
oc_product_special;390;17;-;2;5;7;6.9948716
oc_product_tag;24;35;58;0;4;4;4.0
oc_product_tags;7;28;34;0;3;3;3.0
oc_product_to_category;390;17;-;0;2;2;2.0
oc_product_to_download;390;17;-;0;2;2;2.0
oc_product_to_layout;377;35;-;0;3;3;3.0
oc_product_to_store;389;23;-;0;2;2;2.0
oc_profile;62;190;252;2;12;12;12.0
oc_profile_description;62;190;252;0;3;3;3.0
oc_recurring;159;253;-;0;12;12;12.0
oc_recurring_description;159;253;-;0;3;3;3.0
oc_return;377;35;-;8;12;19;18.572945
oc_return_action;377;35;-;0;3;3;3.0
oc_return_history;377;35;-;2;6;6;6.0
oc_return_product;23;35;57;1;10;10;10.0
oc_return_reason;377;35;-;0;3;3;3.0
oc_return_status;377;35;-;0;3;3;3.0
oc_review;390;17;-;2;9;9;9.0
oc_setting;389;17;-;5;4;6;5.8920307
oc_stock_status;390;17;-;0;3;3;3.0
oc_store;389;23;-;42;39;4;5.1053987
oc_store_description;12;23;34;0;3;3;3.0
oc_tax_class;390;17;-;0;5;5;5.0
oc_tax_rate;390;17;-;8;8;7;7.0923076
oc_tax_rate_to_customer_group;354;58;-;0;2;2;2.0
oc_tax_rule;354;58;-;0;5;5;5.0
oc_theme;22;389;-;0;5;5;5.0
oc_translation;32;380;-;10;5;6;5.9375
oc_upload;200;212;-;0;5;5;5.0
oc_url_alias;390;17;-;0;3;3;3.0
oc_user;390;17;-;7;10;13;12.502564
oc_user_group;390;17;-;1;3;3;3.0
oc_voucher;377;35;-;8;12;12;12.0
oc_voucher_history;375;37;-;3;6;5;5.0053334
oc_voucher_theme;375;37;-;0;2;2;2.0
oc_voucher_theme_description;375;37;-;0;3;3;3.0
oc_weight_class;390;17;-;0;4;2;2.0051281
oc_weight_class_description;389;23;-;0;4;4;4.0
oc_weight_rule;1;17;17;0;3;3;3.0
oc_zone;390;17;-;2;4;5;4.9846153
oc_zone_to_geo_zone;390;17;-;0;6;6;6.0
opencart_address;5;18;22;0;11;11;11.0
opencart_category;5;18;22;0;6;6;6.0
opencart_category_description;5;18;22;1;5;5;5.0
opencart_country;5;18;22;0;5;5;5.0
opencart_coupon;5;18;22;1;12;13;12.4
opencart_coupon_description;5;18;22;0;4;4;4.0
opencart_coupon_product;5;18;22;0;3;3;3.0
opencart_currency;5;18;22;0;9;9;9.0
opencart_customer;5;18;22;1;13;14;13.8
opencart_customer_group;4;19;22;0;2;2;2.0
opencart_download;5;18;22;0;5;5;5.0
opencart_download_description;5;18;22;0;3;3;3.0
opencart_extension;5;18;22;0;3;3;3.0
opencart_geo_zone;5;18;22;0;5;5;5.0
opencart_information;5;18;22;0;2;2;2.0
opencart_information_description;5;18;22;0;4;4;4.0
opencart_language;5;18;22;0;9;9;9.0
opencart_manufacturer;5;18;22;0;4;4;4.0
opencart_measurement_class;4;19;22;0;4;4;4.0
opencart_measurement_rule;4;19;22;0;3;3;3.0
opencart_order;5;18;22;4;40;44;41.6
opencart_order_download;5;18;22;0;7;7;7.0
opencart_order_history;5;18;22;0;6;6;6.0
opencart_order_option;5;18;22;1;7;8;7.4
opencart_order_product;5;18;22;1;10;9;9.2
opencart_order_status;5;18;22;0;3;3;3.0
opencart_order_total;5;18;22;0;6;6;6.0
opencart_product;5;18;22;5;20;22;21.2
opencart_product_description;5;18;22;1;5;5;5.0
opencart_product_discount;5;18;22;6;4;8;7.2
opencart_product_image;5;18;22;0;3;3;3.0
opencart_product_option;5;18;22;0;3;3;3.0
opencart_product_option_description;5;18;22;0;4;4;4.0
opencart_product_option_value;5;18;22;2;6;8;6.8
opencart_product_option_value_description;5;18;22;0;4;4;4.0
opencart_product_related;5;18;22;0;2;2;2.0
opencart_product_special;4;18;22;0;5;7;6.5
opencart_product_to_category;5;18;22;0;2;2;2.0
opencart_product_to_download;5;18;22;0;2;2;2.0
opencart_review;5;18;22;0;9;9;9.0
opencart_setting;5;18;22;0;4;4;4.0
opencart_stock_status;5;18;22;0;3;3;3.0
opencart_tax_class;5;18;22;0;5;5;5.0
opencart_tax_rate;5;18;22;0;8;8;8.0
opencart_url_alias;5;18;22;0;3;3;3.0
opencart_user;5;18;22;0;10;10;10.0
opencart_user_group;5;18;22;0;3;3;3.0
opencart_weight_class;5;18;22;0;4;4;4.0
opencart_weight_rule;5;18;22;0;3;3;3.0
opencart_zone;5;18;22;0;4;4;4.0
opencart_zone_to_geo_zone;5;18;22;0;6;6;6.0
option;1;0;0;0;3;3;3.0
option_value;1;0;0;0;4;4;4.0
order;17;0;16;13;39;40;39.117645
order_download;17;0;16;0;7;7;7.0
order_history;17;0;16;0;6;6;6.0
order_option;17;0;16;0;7;7;7.0
order_product;17;0;16;1;9;10;9.941176
order_status;17;0;16;0;3;3;3.0
order_total;17;0;16;0;6;6;6.0
product;17;0;16;3;17;17;17.0
product_description;17;0;16;2;4;5;4.2941175
product_discount;17;0;16;0;4;4;4.0
product_image;16;1;16;0;3;3;3.0
product_option;16;1;16;0;3;3;3.0
product_option_description;16;1;16;1;4;4;4.0
product_option_value;16;1;16;0;6;6;6.0
product_option_value_description;16;1;16;1;4;4;4.0
product_related;3;14;16;0;2;2;2.0
product_special;4;13;16;0;5;5;5.0
product_to_category;17;0;16;0;2;2;2.0
product_to_download;17;0;16;0;2;2;2.0
product_to_image;1;0;0;0;2;2;2.0
product_to_option;1;0;0;0;7;7;7.0
review;17;0;16;0;9;9;9.0
setting;17;0;16;1;4;4;4.0
stock_status;17;0;16;0;3;3;3.0
tax_class;17;0;16;0;5;5;5.0
tax_rate;17;0;16;0;8;8;8.0
url_alias;1;0;0;0;3;3;3.0
user;17;0;16;0;10;10;10.0
user_group;17;0;16;0;3;3;3.0
weight_class;17;0;16;0;4;4;4.0
weight_rule;17;0;16;0;3;3;3.0
zone;17;0;16;1;4;4;4.0
zone_to_geo_zone;17;0;16;0;6;6;6.0
