#,Project,Tracker,Parent task,Status,Priority,Subject,Author,Assigned To,Updated,Category,Target version,Start date,Due date,Estimated time,% Done,Created,Story points,Velocity based estimate,Position,Remaining (hours),Tags
31431,TypoScript Syntax,Task,"",Closed,Should have,Rework the manual,Chris topher,Chris topher,2011-10-30 20:22,"","",2011-10-30,"","",100,2011-10-30 16:05,"","",340800,"",""
31432,TypoScript Syntax,Task,"",Closed,Should have,"Limitation ""Must be less than 100KB."" is no longer present since TYPO3 4.6",Chris topher,Chris topher,2011-11-03 17:00,"","",2011-10-30,"","",100,2011-10-30 16:40,"","",340850,"",""
31435,TypoScript Syntax,Task,"",Closed,Should have,Publish doc_core_ts for TYPO3 4.5,Chris topher,Chris topher,2011-11-02 22:46,"","",2011-10-30,"","",100,2011-10-30 20:23,"","",341000,"",""
31467,TypoScript Reference (TSref),Task,"",Resolved,Should have,"Avoid duplicate documentation of cObjects MEDIA, SWFOBJECT and QTOBJECT",Chris topher,"",2015-11-06 15:06,"",7,2011-10-31,"","",100,2011-10-31 16:37,"","",342550,"",""
31488,Templating Tutorial,Task,"",New,Should have,Format Stylesheet and HTML file,Chris topher,"",2011-11-04 18:11,"",1.0.0,2011-11-02,2011-11-02,"",30,2011-11-01 13:01,"","",343600,"",""
31489,Templating Tutorial,Task,"",Resolved,Should have,Template files: Translate German speaking comments to English,Chris topher,Chris topher,2011-11-04 18:12,"",1.0.0,2011-11-01,"","",100,2011-11-01 13:01,"","",343650,"",""
31524,TypoScript Syntax,Task,"",Closed,Should have,Publish doc_core_ts for TYPO3 4.6,Chris topher,Chris topher,2011-11-03 17:00,"","",2011-11-02,"","",100,2011-11-02 22:42,"","",345350,"",""
31556,Security Guide,Task,"",Closed,Should have,Check security-related stuff from Inside TYPO3,Francois Suter,"",2011-12-02 00:05,"","",2011-11-03,"","",100,2011-11-03 14:43,"","",346900,"",""
31558,TypoScript Syntax,Task,"",Closed,Should have,Fix internal format of two screenshots,Chris topher,Chris topher,2011-11-03 17:00,"","",2011-11-03,"","",100,2011-11-03 15:22,"","",347000,"",""
31582,Core APIs,Task,"",Closed,Should have,Add note about extracted TCA reference,Francois Suter,Francois Suter,2012-03-23 14:20,"",4.3.2,2011-11-04,"","",100,2011-11-04 16:27,"","",348200,"",""
31583,Templating Tutorial,Task,"",Resolved,Should have,Use subparts instead of markers for the two content columns,Chris topher,Chris topher,2011-11-06 17:59,"",1.0.0,2011-11-04,"","",100,2011-11-04 16:47,"","",348250,"",""
31599,Templating Tutorial,Task,"",Resolved,Should have,Commit the TypoScript code,Chris topher,Chris topher,2011-11-06 00:20,"",1.0.0,2011-11-05,"","",100,2011-11-05 16:52,"","",349050,"",""
31603,Templating Tutorial,Task,"",Resolved,Should have,Position of marker TITLE is wrong,Chris topher,Chris topher,2011-11-06 13:48,"",1.0.0,2011-11-06,"","",100,2011-11-06 00:05,"","",349200,"",""
31604,Templating Tutorial,Task,"",New,Should have,Add configuration for a Backend Layout,Chris topher,"",2013-04-16 00:52,"",1.0.0,2011-11-06,"","",0,2011-11-06 00:08,"","",349250,"",""
31605,Templating Tutorial,Task,"",Resolved,Should have,Add a favicon,Chris topher,Chris topher,2011-11-06 00:21,"",1.0.0,2011-11-06,"","",100,2011-11-06 00:21,"","",349300,"",""
31612,Templating Tutorial,Task,"",New,Should have,Set doctype to HTML5,Chris topher,"",2011-11-06 12:30,"",1.0.0,2011-11-06,"","",0,2011-11-06 12:30,"","",349650,"",""
31620,Templating Tutorial,Task,"",Resolved,Should have,Main navigation uses strange colors,Chris topher,Chris topher,2011-11-06 16:01,"",1.0.0,2011-11-06,"","",100,2011-11-06 16:00,"","",350050,"",""
31623,Templating Tutorial,Task,"",Resolved,Should have,Replace the headertitle with a marker,Chris topher,Chris topher,2011-11-06 16:55,"",1.0.0,2011-11-06,"","",100,2011-11-06 16:50,"","",350200,"",""
31624,Templating Tutorial,Task,"",On Hold,Should have,Get the headertitle from a constant,Chris topher,"",2011-11-06 17:40,"","",2011-11-06,"","",0,2011-11-06 17:00,"","",350250,"",""
31669,Security Guide,Task,"",Closed,Should have,Attackers look for code with security issue,Michael Schams,Michael Schams,2012-03-22 17:15,"",1.0.1,2011-11-08,"","",90,2011-11-08 12:10,"","",352400,"",""
