Project	MonthsPastV0	AvgTimeLag	AvgSrcLag	TimeLagsSchemaAlways?	SrcLagsSchemaAlways?	TimeLagsSchemaOccurrences	SrcLagsSchemaOccurrences	TimeLagsSchemaPct	SrcLagsSchemaPct
cumulative_joomlatools__joomla-platform-content.tsv	33	0.4693526170798899	0.2084185339808583	true	true	33	33	1.0	1.0
cumulative_joomlatools__joomla-platform-finder.tsv	34	0.4750119560019131	0.2482196765901482	true	false	34	33	1.0	0.9705882352941176
cumulative_joomlatools__joomla-platform.tsv	43	0.45052144002411915	0.07277365055652826	false	false	42	41	0.9767441860465116	0.9534883720930233
cumulative_josephspurrier__gowebapp.tsv	23	0.3608695652173913	0.04307780320366151	true	false	23	19	1.0	0.8260869565217391
cumulative_joyplus__o2oadmin.tsv	11	0.0812937062937063	-0.15293574778010569	false	false	7	6	0.6363636363636364	0.5454545454545454
cumulative_JRonak__OnlineJudge.tsv	14	0.5201863354037267	-0.0017869253043693895	true	false	14	13	1.0	0.9285714285714286
cumulative_keybase__node-client.tsv	35	0.4516483516483516	0.2091690541510833	false	false	34	33	0.9714285714285714	0.9428571428571428
cumulative_knightliao__disconf.tsv	50	0.13	-0.2924656534954407	false	false	32	31	0.64	0.62
cumulative_kronusme__dota2-api.tsv	46	0.04723142912848509	-0.06238537264012211	false	false	30	21	0.6521739130434783	0.45652173913043476
cumulative_lamassu__lamassu-admin.tsv	38	0.47112573099415206	0.044703734298376686	true	false	38	37	1.0	0.9736842105263158
cumulative_lamassu__lamassu-scripts.tsv	40	0.4643867924528302	0.319454360020398	true	true	40	40	1.0	1.0
cumulative_leapp-to__prototype.tsv	26	0.019230769230769235	-0.19738835903378193	false	false	14	13	0.5384615384615384	0.5
cumulative_leighmacdonald__php_rbac.tsv	8	0.3125	-0.042640186915887834	false	false	7	6	0.875	0.75
cumulative_lisong__code-push-server.tsv	32	0.25539772727272725	-0.003364817001180718	false	false	28	27	0.875	0.84375
cumulative_liujianping__scaffold.tsv	7	-0.22360248447204967	-0.4393573466519852	false	false	2	1	0.2857142857142857	0.14285714285714285
cumulative_magikcypress__slim-boot-boilerplate.tsv	5	0.6	0.035830048182216426	true	true	5	5	1.0	1.0
cumulative_magnus-lycka__gocddash.tsv	13	-0.3329326923076923	-0.18256603561807844	false	false	2	1	0.15384615384615385	0.07692307692307693
cumulative_mapbox__node-mbtiles.tsv	96	0.45138888888888884	0.06195679959100218	true	true	96	96	1.0	1.0
cumulative_mapbox__osm-comments-parser.tsv	22	0.12552447552447554	0.05734265734265734	false	false	19	16	0.8636363636363636	0.7272727272727273
cumulative_marmelab__comfygure.tsv	27	0.5185185185185185	0.28648254489107644	true	true	27	27	1.0	1.0
cumulative_marssa__footprint.tsv	16	0.09375	-0.004750239005736116	false	false	10	9	0.625	0.5625
cumulative_matthewfranglen__postgres-elasticsearch-fdw.tsv	25	0.28	0.5323076923076924	false	false	20	19	0.8	0.76
cumulative_mattinsler__work-it.tsv	10	0.45	-0.03301282051282055	true	false	10	9	1.0	0.9
cumulative_mbilbille__jpnforphp.tsv	62	-0.12096774193548385	-0.1444759900141954	false	false	24	23	0.3870967741935484	0.3709677419354839
cumulative_MDSLab__s4t-iotronic-standalone.tsv	48	0.00349419831223634	-0.19550520431619847	false	false	26	0	0.5416666666666666	0.0
cumulative_mem__padron.tsv	25	0.3264516129032257	0.1049881982690794	false	true	21	25	0.84	1.0
cumulative_mgilangjanuar__slimedoo.tsv	3	0.6666666666666666	0.005446623093681898	true	true	3	3	1.0	1.0
cumulative_milogert__ocdns.tsv	3	-0.1692307692307692	-0.22983682983682982	false	false	1	0	0.3333333333333333	0.0
cumulative_MorpheusXAUT__eveauth.tsv	4	0.5426470588235295	0.18099085788161415	true	true	4	4	1.0	1.0
cumulative_mozilla-services__autograph.tsv	40	-0.4125	-0.39539390480027753	false	false	4	3	0.1	0.075
cumulative_mozilla-services__go-bouncer.tsv	45	0.5066322136089573	0.3229452734863739	true	true	45	45	1.0	1.0
cumulative_mozilla__ichnaea.tsv	64	-0.2265625	-0.3583070862180004	false	false	18	17	0.28125	0.265625
cumulative_mozilla__mig.tsv	67	0.09525899912203686	0.0849142686988021	false	false	45	30	0.6716417910447762	0.44776119402985076
cumulative_mozilla__tls-observatory.tsv	55	0.1672727272727273	0.33854254644453724	false	false	42	40	0.7636363636363637	0.7272727272727273
cumulative_mukatee__pypro.tsv	12	0.375	0.26241987179487186	false	false	11	10	0.9166666666666666	0.8333333333333334
cumulative_n2n__page.tsv	32	0.4943181818181818	0.3638626733436056	true	true	32	32	1.0	1.0
cumulative_n2n__rocket.tsv	49	0.09003601440576232	0.17809434026606644	false	false	34	31	0.6938775510204082	0.6326530612244898
cumulative_nats-io__nats-streaming-server.tsv	40	0.001071428571428601	-0.07287195260879471	false	false	21	20	0.525	0.5
cumulative_nawork__nawork-uri.tsv	123	0.33893405600722654	0.23467094538745184	true	true	123	123	1.0	1.0
cumulative_neocogent__sqlchain.tsv	45	0.2506666666666666	0.19235016835016813	false	false	41	40	0.9111111111111111	0.8888888888888888
cumulative_neos__flow-development-collection.tsv	135	-0.25868945868945864	-0.28704326262027097	false	false	30	28	0.2222222222222222	0.2074074074074074
cumulative_nooku__joomla-todo.tsv	54	0.17259771292029355	-0.054012684325024374	false	false	39	30	0.7222222222222222	0.5555555555555556
cumulative_NPRA__EmissionCalculatorLib.tsv	4	-0.125	-0.3105022831050228	false	false	2	1	0.5	0.25
cumulative_opencart__opencart.tsv	123	0.26014493607031675	0.21540059255147867	true	false	123	120	1.0	0.975609756097561
cumulative_openzipkin__zipkin.tsv	83	-0.36590807675145026	-0.11931943106982772	false	false	10	49	0.12048192771084337	0.5903614457831325
cumulative_outbrain__orchestrator.tsv	32	-0.109375	-0.16415750701590273	false	false	13	12	0.40625	0.375
cumulative_pinterest__teletraan.tsv	40	0.43270134228187923	0.08926452310976588	true	true	40	40	1.0	1.0
cumulative_pods-framework__pods.tsv	126	0.36017857142857135	0.3773492479057094	true	false	126	125	1.0	0.9920634920634921
cumulative_portrino__px_hybrid_auth.tsv	24	0.5208333333333334	0.2683938329430132	true	true	24	24	1.0	1.0
cumulative_processone__ejabberd.tsv	198	-0.4332789432789426	-0.33357442848509755	false	false	4	3	0.020202020202020204	0.015151515151515152
cumulative_prooph__pdo-snapshot-store.tsv	28	0.5178571428571429	0.2844967532467532	true	true	28	28	1.0	1.0
cumulative_protosam__hostcontrol.tsv	35	0.514285714285714	0.0025351147653305548	true	true	35	35	1.0	1.0
cumulative_purefn__hipbot.tsv	14	0.5357142857142857	0.21782178217821788	true	true	14	14	1.0	1.0
cumulative_pw-press__web-project.tsv	12	0.22718978102189782	0.07990907926751188	false	false	10	5	0.8333333333333334	0.4166666666666667
cumulative_quickapps__cms.tsv	49	0.26953266513706076	-0.06062003189243242	false	false	39	36	0.7959183673469388	0.7346938775510204
cumulative_ranaroussi__qtpylib.tsv	33	0.4947658402203857	0.16951085580532815	true	true	33	33	1.0	1.0
cumulative_remind101__empire.tsv	50	-0.35	-0.6780429856485616	false	false	8	7	0.16	0.14
cumulative_RichMercer__ContentMetadata.tsv	32	0.515625	0.02905701754385963	true	true	32	32	1.0	1.0
cumulative_rill-event-sourcing__rill.tsv	29	-0.4827586206896552	-0.7467790829859793	false	false	1	0	0.034482758620689655	0.0
cumulative_RiotingNerds__sails-hook-audittrail.tsv	10	0.55	0.01578947368421051	true	true	10	10	1.0	1.0
cumulative_rogeriopvl__nodo.tsv	62	0.49193548387096764	0.11729950716845863	true	false	62	61	1.0	0.9838709677419355
cumulative_rolfvreijdenberger__izzum-statemachine.tsv	35	0.46971428571428564	0.13884970560892476	true	false	35	34	1.0	0.9714285714285714
cumulative_royzhao__prot-coderun.tsv	5	0.39999999999999997	0.24164609053497946	true	false	5	4	1.0	0.8
cumulative_RubyMoney__money-rails.tsv	86	0.45413436692506454	0.27283582666792344	false	false	84	83	0.9767441860465116	0.9651162790697675
cumulative_rvadym__languages.tsv	18	-0.4722222222222222	-0.43402777777777785	false	false	1	0	0.05555555555555555	0.0
cumulative_SalesforceEng__cucumber-metrics.tsv	6	0.39705882352941185	0.34093637454981995	true	false	6	5	1.0	0.8333333333333334
cumulative_saltzm__yadi.tsv	5	0.2	0.20658578856152512	false	false	4	3	0.8	0.6
cumulative_scherersoftware__cake-wiki.tsv	10	0.5227272727272727	0.3037952338923212	true	true	10	10	1.0	1.0
cumulative_schimmy__shorty.tsv	5	0.39999999999999997	0.11450381679389313	true	false	5	4	1.0	0.8
cumulative_scorelab__Bassa.tsv	48	0.34313725490196073	0.20027665938765282	true	false	48	47	1.0	0.9791666666666666
cumulative_seatgeek__djjob.tsv	83	0.5024096385542168	0.22874354561101576	true	true	83	83	1.0	1.0
cumulative_SeldonIO__seldon-server.tsv	41	0.4549718574108818	0.13584647138957975	false	false	40	39	0.975609756097561	0.9512195121951219
cumulative_senecajs__seneca-postgres-store.tsv	46	-0.30138339920948615	-0.09758801967153237	false	false	10	9	0.21739130434782608	0.1956521739130435
cumulative_shiftcurrency__shift.tsv	10	-0.15	-0.35247587407055847	false	false	4	3	0.4	0.3
cumulative_shopware__shopware.tsv	81	0.35802469135802467	0.23353583922750876	false	false	70	69	0.8641975308641975	0.8518518518518519
cumulative_shouldbee__reserved-usernames.tsv	55	0.509090909090909	0.26748251748251756	true	true	55	55	1.0	1.0
cumulative_simplepie__simplepie.tsv	155	0.2561290322580646	-0.07741131384675959	false	false	134	66	0.864516129032258	0.4258064516129032
cumulative_skarllot__netpaper.tsv	13	-0.15384615384615385	-0.27711504182092417	false	false	5	4	0.38461538461538464	0.3076923076923077
cumulative_snakerflow__snakerflow.tsv	9	0.2874617737003058	0.030114103449409704	true	false	9	7	1.0	0.7777777777777778
cumulative_soapboxsys__ombudslib.tsv	14	-0.21428571428571427	-0.04215070643642071	false	false	4	4	0.2857142857142857	0.2857142857142857
cumulative_spaceboats__busbus.tsv	6	-0.2540650406504065	-0.06003830714998878	false	false	2	1	0.3333333333333333	0.16666666666666666
cumulative_spring-projects__spring-social.tsv	104	0.2383241758241758	-0.11005673557959507	false	false	85	49	0.8173076923076923	0.47115384615384615
cumulative_sqlectron__sqlectron-core.tsv	42	0.4494047619047619	0.14631770429690855	true	false	42	41	1.0	0.9761904761904762
cumulative_starbs__yeh.tsv	23	0.5217391304347826	0.05661231884057978	true	true	23	23	1.0	1.0
cumulative_studygolang__studygolang.tsv	74	-0.13132170326128983	-0.1207500786119954	false	false	24	23	0.32432432432432434	0.3108108108108108
cumulative_symfony__security-acl.tsv	66	0.4621212121212121	0.11377702757013086	false	false	64	63	0.9696969696969697	0.9545454545454546
cumulative_symphonycms__symphony-2.tsv	127	0.15243008417051343	0.009028847785893319	false	false	90	86	0.7086614173228346	0.6771653543307087
cumulative_TalkingData__OWL-v3.tsv	41	-0.013177066835603426	-0.05780755140951017	false	false	20	20	0.4878048780487805	0.4878048780487805
cumulative_taskrabbit__empujar.tsv	43	0.5116279069767439	0.24975918535846992	true	true	43	43	1.0	1.0
cumulative_teaminmedias-pluswerk__ke_search.tsv	44	0.46404619970193756	0.412529095671947	true	true	44	44	1.0	1.0
cumulative_teresko__palladium.tsv	21	0.5061728395061729	0.08616345644260248	true	true	21	21	1.0	1.0
cumulative_Terry-Mao__gopush-cluster.tsv	40	0.40224358974358976	-0.0013828544155886607	false	false	37	35	0.925	0.875
cumulative_the42__ogdat.tsv	48	0.06838768115942029	-0.029704950895338905	false	false	28	27	0.5833333333333334	0.5625
