Date;hash;release
1421801123;03f35b3c30b716584d7456088f065278a17130cd;refs/tags/release-3.0.13-RC1
1430662258;a4d08a0a41d6eaa62c966534a3b3cb08cbfa137c;refs/tags/release-3.0.14
1430250890;8b85af88d6e308b606b407531eb0c60671856a46;refs/tags/release-3.0.14-RC1
1215724766;b21ca5be7123f410b28baee014f4aed16f602d30;refs/tags/release-3.0.2
1213456812;e2ef99012194cd320c44ba70013988dcac96cae5;refs/tags/release-3.0.2-RC1
1214735959;7e97da5285859419b1769e76f8395f71076ac06e;refs/tags/release-3.0.2-RC2
1226523982;615b0d4e37664a2658504705b4c5a7bc533c76d8;refs/tags/release-3.0.3
1225664015;b0e185e7dbaaf119578e75563c2fb5973bb2914c;refs/tags/release-3.0.3-RC1
1229130664;d78df35da9c41883ae988008952a9d360c591883;refs/tags/release-3.0.4
1229169827;a94c760650a9454d1ac33b30243898eae57f8f4f;refs/tags/release-3.0.4-RC1
1243783618;6c2760a736440da3bc3a76cd41504436742910c2;refs/tags/release-3.0.5
1241352158;6485d66743d55aeba95aed86fcde4a0e555e3104;refs/tags/release-3.0.5-RC1
1258471983;338559baca27ef4954898b824845d51bc536c9a6;refs/tags/release-3.0.6
1252775703;3ddedd5ff228cdcc3c0b05000affe3944afc7854;refs/tags/release-3.0.6-RC1
1253898347;ac5995551ba941b2cb5d98cc86ffe921bedee200;refs/tags/release-3.0.6-RC2
1255436860;8d12b40fc4fdf50517e9584d14a5edd311953e7c;refs/tags/release-3.0.6-RC3
1257103157;199bb1366018c61fe9c140d711369a92d576e757;refs/tags/release-3.0.6-RC4
1267395844;f7a28642feccde83ecd3bf89d7783efdeab8bbc2;refs/tags/release-3.0.7
1267824159;39ce619c980988dcc8b753d5052b46a923d2154b;refs/tags/release-3.0.7-PL1
1265074363;67e8cbdd0041e0cc0b77b09cad02ce29905ded01;refs/tags/release-3.0.7-RC1
1266974466;05b5dc316779f67641e17859d5c69f296b24288d;refs/tags/release-3.0.7-RC2
1290162974;a56c8ff05fb0172ec5d2d99a7bb1609ebd828fc0;refs/tags/release-3.0.8
1289412114;63ea9db2157b9fce33089cbbbb6b71886b5dd9ef;refs/tags/release-3.0.8-RC1
