trID;time;oldVer;newVer;#oldT;#newT;#oldA;#newA;tIns;tDel;aIns;aDel;aTypeAlt;keyAlt;aTabIns;aTabDel
100;rev_010388;rev_010387.sql;rev_010388.sql;213;213;1602;1602;0;0;1;1;0;0;0;0
101;rev_010408;rev_010388.sql;rev_010408.sql;213;213;1602;1603;0;0;1;0;0;0;0;0
102;rev_010558;rev_010408.sql;rev_010558.sql;213;213;1603;1604;0;0;1;0;0;0;0;0
103;rev_010671;rev_010558.sql;rev_010671.sql;213;213;1604;1604;0;0;0;0;0;0;0;0
104;rev_010675;rev_010671.sql;rev_010675.sql;213;213;1604;1604;0;0;0;0;0;1;0;0
105;rev_010692;rev_010675.sql;rev_010692.sql;213;213;1604;1604;0;0;0;0;0;0;0;0
106;rev_010729;rev_010692.sql;rev_010729.sql;213;213;1604;1604;0;0;0;0;0;0;0;0
107;rev_010755;rev_010729.sql;rev_010755.sql;213;213;1604;1604;0;0;0;0;0;0;0;0
108;rev_010902;rev_010755.sql;rev_010902.sql;213;213;1604;1604;0;0;0;0;0;1;0;0
109;rev_010979;rev_010902.sql;rev_010979.sql;213;213;1604;1605;0;0;1;0;0;0;0;0
110;rev_010998;rev_010979.sql;rev_010998.sql;213;213;1605;1605;0;0;0;0;0;0;0;0
111;rev_011021;rev_010998.sql;rev_011021.sql;213;213;1605;1605;0;0;0;0;0;0;0;0
112;rev_011050;rev_011021.sql;rev_011050.sql;213;213;1605;1605;0;0;0;0;0;0;0;0
113;rev_011121;rev_011050.sql;rev_011121.sql;213;213;1605;1606;0;0;1;0;0;0;0;0
114;rev_011144;rev_011121.sql;rev_011144.sql;213;214;1606;1612;1;0;0;0;0;0;6;0
115;rev_011171;rev_011144.sql;rev_011171.sql;214;214;1612;1612;0;0;0;0;0;0;0;0
116;rev_011323;rev_011171.sql;rev_011323.sql;214;214;1612;1612;0;0;0;0;0;0;0;0
117;rev_011411;rev_011323.sql;rev_011411.sql;214;214;1612;1612;0;0;0;0;0;0;0;0
118;rev_011412;rev_011411.sql;rev_011412.sql;214;214;1612;1612;0;0;0;0;0;0;0;0
119;rev_011459;rev_011412.sql;rev_011459.sql;214;214;1612;1613;0;0;1;0;0;0;0;0
120;rev_011479;rev_011459.sql;rev_011479.sql;214;214;1613;1613;0;0;0;0;0;0;0;0
121;rev_011520;rev_011479.sql;rev_011520.sql;214;214;1613;1615;0;0;6;4;0;0;0;0
122;rev_011565;rev_011520.sql;rev_011565.sql;214;214;1615;1619;0;0;4;0;5;0;0;0
123;rev_011723;rev_011565.sql;rev_011723.sql;214;214;1619;1619;0;0;0;0;0;0;0;0
124;rev_011733;rev_011723.sql;rev_011733.sql;214;214;1619;1619;0;0;0;0;0;0;0;0
125;rev_011750;rev_011733.sql;rev_011750.sql;214;214;1619;1619;0;0;0;0;0;0;0;0
126;rev_011756;rev_011750.sql;rev_011756.sql;214;214;1619;1619;0;0;0;0;0;0;0;0
127;rev_011757;rev_011756.sql;rev_011757.sql;214;214;1619;1619;0;0;0;0;0;0;0;0
128;rev_011771;rev_011757.sql;rev_011771.sql;214;214;1619;1619;0;0;0;0;0;0;0;0
129;rev_011814;rev_011771.sql;rev_011814.sql;214;214;1619;1619;0;0;0;0;0;0;0;0
130;rev_011838;rev_011814.sql;rev_011838.sql;214;215;1619;1624;1;0;0;0;0;0;5;0
131;rev_011994;rev_011838.sql;rev_011994.sql;215;215;1624;1624;0;0;1;1;0;0;0;0
132;rev_011995;rev_011994.sql;rev_011995.sql;215;215;1624;1624;0;0;0;0;0;0;0;0
133;rev_011996;rev_011995.sql;rev_011996.sql;215;215;1624;1624;0;0;0;0;0;0;0;0
134;rev_012028;rev_011996.sql;rev_012028.sql;215;215;1624;1624;0;0;0;0;0;0;0;0
135;rev_012032;rev_012028.sql;rev_012032.sql;215;215;1624;1626;0;0;2;0;0;0;0;0
136;rev_012161;rev_012032.sql;rev_012161.sql;215;215;1626;1626;0;0;0;0;0;0;0;0
137;rev_012162;rev_012161.sql;rev_012162.sql;215;215;1626;1626;0;0;0;0;0;0;0;0
138;rev_012238;rev_012162.sql;rev_012238.sql;215;215;1626;1626;0;0;0;0;0;0;0;0
139;rev_012251;rev_012238.sql;rev_012251.sql;215;215;1626;1626;0;0;0;0;0;0;0;0
140;rev_012317;rev_012251.sql;rev_012317.sql;215;215;1626;1627;0;0;1;0;0;0;0;0
141;rev_012324;rev_012317.sql;rev_012324.sql;215;215;1627;1627;0;0;0;0;0;0;0;0
142;rev_012503;rev_012324.sql;rev_012503.sql;215;215;1627;1627;0;0;0;0;0;0;0;0
143;rev_012564;rev_012503.sql;rev_012564.sql;215;215;1627;1628;0;0;1;0;0;0;0;0
144;rev_012592;rev_012564.sql;rev_012592.sql;215;215;1628;1628;0;0;0;0;0;0;0;0
145;rev_012643;rev_012592.sql;rev_012643.sql;215;215;1628;1628;0;0;0;0;1;0;0;0
146;rev_012743;rev_012643.sql;rev_012743.sql;215;215;1628;1628;0;0;0;0;0;0;0;0
147;rev_012750;rev_012743.sql;rev_012750.sql;215;215;1628;1628;0;0;0;0;0;0;0;0
148;rev_012804;rev_012750.sql;rev_012804.sql;215;215;1628;1628;0;0;0;0;0;0;0;0
149;rev_012859;rev_012804.sql;rev_012859.sql;215;215;1628;1628;0;0;0;0;0;0;0;0
150;rev_012907;rev_012859.sql;rev_012907.sql;215;215;1628;1628;0;0;0;0;0;0;0;0
151;rev_012932;rev_012907.sql;rev_012932.sql;215;215;1628;1628;0;0;0;0;0;0;0;0
